Gender,Height,Outlier,FatherHeight, Outlier,Is Cell Empty,MotherHeight,Outlier,Is Cell Empty,Weight,Is Cell Empty,AttractivenessDifferent,Is Cell Empty,AttractivenessSame,Is Cell Empty,Female Q1,Female Q3 ,Female IQR,F Upper Bound,F lower Bound,,,,,,,
0,170,FALSE,175,FALSE,FALSE,177,FALSE,FALSE,68,FALSE,9,FALSE,8,FALSE,166,169.75,3.75,175.375,160.375,,,,,,,
0,168,FALSE,180,FALSE,FALSE,165,FALSE,FALSE,49,FALSE,7,FALSE,8,FALSE,M Q1,M Q3,M IQR,M Upper Bound,M Lower Bound,,,,,,,
0,170,FALSE,184,FALSE,FALSE,160,FALSE,FALSE,58,FALSE,7,FALSE,6,FALSE,174.25,187,12.75,206.125,155.125,,,,,,,
0,166,FALSE,180,FALSE,FALSE,150,FALSE,FALSE,85,FALSE,4,FALSE,4,FALSE,FH Q1,FH Q3,FH IQR,FH Upper Bound,FH Lower Bound,,,,,,,
0,167,FALSE,178,FALSE,FALSE,165,FALSE,FALSE,54,FALSE,8,FALSE,8,FALSE,174,182,8,194,162,,,,,,,
0,167,FALSE,185,FALSE,FALSE,167,FALSE,FALSE,60,FALSE,7,FALSE,7,FALSE,MH Q1,MH Q3,MH IQR,MH Upper Bound,MH Lower Bound,,,,,,,
0,162,FALSE,168,FALSE,FALSE,156,FALSE,FALSE,48,FALSE,8,FALSE,7,FALSE,160,168.5,8.5,181.25,147.25,,,,,,,
0,160,TRUE,178,FALSE,FALSE,161,FALSE,FALSE,52,FALSE,6,FALSE,7,FALSE,,,,,,,,,,,,
0,164,FALSE,183,FALSE,FALSE,163,FALSE,FALSE,55,FALSE,7,FALSE,6,FALSE,,,,,,,,,,,,
0,158,TRUE,165,FALSE,FALSE,160,FALSE,FALSE,53,FALSE,5,FALSE,7,FALSE,,,,,,,,,,,,
0,167,FALSE,181,FALSE,FALSE,172,FALSE,FALSE,56,FALSE,6,FALSE,5,FALSE,,,,,,,,,,,,
0,169,FALSE,186,FALSE,FALSE,152,FALSE,FALSE,58,FALSE,6,FALSE,7,FALSE,,,,,,,,,,,,
0,177,TRUE,177,FALSE,FALSE,176,FALSE,FALSE,75,FALSE,7,FALSE,7,FALSE,,,,,,,,,,,,
